"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-22,"1 day ahead cum case",2021-03-23,"GM","Germany","point",NA,2681391.874268
2021-03-22,"2 day ahead cum case",2021-03-24,"GM","Germany","point",NA,2696912.161956
2021-03-22,"3 day ahead cum case",2021-03-25,"GM","Germany","point",NA,2716888.775315
2021-03-22,"4 day ahead cum case",2021-03-26,"GM","Germany","point",NA,2740835.902851
2021-03-22,"5 day ahead cum case",2021-03-27,"GM","Germany","point",NA,2762277.291650
2021-03-22,"6 day ahead cum case",2021-03-28,"GM","Germany","point",NA,2777585.836302
2021-03-22,"7 day ahead cum case",2021-03-29,"GM","Germany","point",NA,2791411.009613
2021-03-22,"8 day ahead cum case",2021-03-30,"GM","Germany","point",NA,2807932.168974
2021-03-22,"9 day ahead cum case",2021-03-31,"GM","Germany","point",NA,2829035.172139
2021-03-22,"10 day ahead cum case",2021-04-01,"GM","Germany","point",NA,2855562.012993
2021-03-22,"11 day ahead cum case",2021-04-02,"GM","Germany","point",NA,2886115.015690
2021-03-22,"12 day ahead cum case",2021-04-03,"GM","Germany","point",NA,2913043.651260
2021-03-22,"13 day ahead cum case",2021-04-04,"GM","Germany","point",NA,2932562.978894
2021-03-22,"14 day ahead cum case",2021-04-05,"GM","Germany","point",NA,2950796.576204
2021-03-22,"15 day ahead cum case",2021-04-06,"GM","Germany","point",NA,2973008.620937
2021-03-22,"16 day ahead cum case",2021-04-07,"GM","Germany","point",NA,3001207.977422
2021-03-22,"17 day ahead cum case",2021-04-08,"GM","Germany","point",NA,3035583.950866
2021-03-22,"18 day ahead cum case",2021-04-09,"GM","Germany","point",NA,3073968.982599
2021-03-22,"19 day ahead cum case",2021-04-10,"GM","Germany","point",NA,3107552.912310
2021-03-22,"20 day ahead cum case",2021-04-11,"GM","Germany","point",NA,3132386.127723
2021-03-22,"21 day ahead cum case",2021-04-12,"GM","Germany","point",NA,3156302.959437
2021-03-22,"22 day ahead cum case",2021-04-13,"GM","Germany","point",NA,3185738.097404
2021-03-22,"23 day ahead cum case",2021-04-14,"GM","Germany","point",NA,3222529.469528
2021-03-22,"24 day ahead cum case",2021-04-15,"GM","Germany","point",NA,3265994.122455
2021-03-22,"25 day ahead cum case",2021-04-16,"GM","Germany","point",NA,3313419.612846
2021-03-22,"26 day ahead cum case",2021-04-17,"GM","Germany","point",NA,3354890.006355
2021-03-22,"27 day ahead cum case",2021-04-18,"GM","Germany","point",NA,3386264.862530
2021-03-22,"28 day ahead cum case",2021-04-19,"GM","Germany","point",NA,3417247.636091
2021-03-22,"29 day ahead cum case",2021-04-20,"GM","Germany","point",NA,3455406.865066
2021-03-22,"30 day ahead cum case",2021-04-21,"GM","Germany","point",NA,3502066.542495
2021-03-22,"1 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.01",2674175.013133
2021-03-22,"2 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.01",2686207.731778
2021-03-22,"3 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.01",2701783.777324
2021-03-22,"4 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.01",2724635.386046
2021-03-22,"5 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.01",2743436.135081
2021-03-22,"6 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.01",2755188.245364
2021-03-22,"7 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.01",2765500.224927
2021-03-22,"8 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.01",2776904.292719
2021-03-22,"9 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.01",2790766.911710
2021-03-22,"10 day ahead cum case",2021-04-01,"GM","Germany","quantile","0.01",2809250.600988
2021-03-22,"11 day ahead cum case",2021-04-02,"GM","Germany","quantile","0.01",2835022.014560
2021-03-22,"12 day ahead cum case",2021-04-03,"GM","Germany","quantile","0.01",2854439.562179
2021-03-22,"13 day ahead cum case",2021-04-04,"GM","Germany","quantile","0.01",2867050.546257
2021-03-22,"14 day ahead cum case",2021-04-05,"GM","Germany","quantile","0.01",2878682.345547
2021-03-22,"15 day ahead cum case",2021-04-06,"GM","Germany","quantile","0.01",2891694.324887
2021-03-22,"16 day ahead cum case",2021-04-07,"GM","Germany","quantile","0.01",2907535.586952
2021-03-22,"17 day ahead cum case",2021-04-08,"GM","Germany","quantile","0.01",2928901.421194
2021-03-22,"18 day ahead cum case",2021-04-09,"GM","Germany","quantile","0.01",2956455.047397
2021-03-22,"19 day ahead cum case",2021-04-10,"GM","Germany","quantile","0.01",2975797.722027
2021-03-22,"20 day ahead cum case",2021-04-11,"GM","Germany","quantile","0.01",2989109.996389
2021-03-22,"21 day ahead cum case",2021-04-12,"GM","Germany","quantile","0.01",3001927.883055
2021-03-22,"22 day ahead cum case",2021-04-13,"GM","Germany","quantile","0.01",3016306.057868
2021-03-22,"23 day ahead cum case",2021-04-14,"GM","Germany","quantile","0.01",3033865.759124
2021-03-22,"24 day ahead cum case",2021-04-15,"GM","Germany","quantile","0.01",3057450.106418
2021-03-22,"25 day ahead cum case",2021-04-16,"GM","Germany","quantile","0.01",3085412.741406
2021-03-22,"26 day ahead cum case",2021-04-17,"GM","Germany","quantile","0.01",3103968.886352
2021-03-22,"27 day ahead cum case",2021-04-18,"GM","Germany","quantile","0.01",3117700.418431
2021-03-22,"28 day ahead cum case",2021-04-19,"GM","Germany","quantile","0.01",3131412.653265
2021-03-22,"29 day ahead cum case",2021-04-20,"GM","Germany","quantile","0.01",3146741.936281
2021-03-22,"30 day ahead cum case",2021-04-21,"GM","Germany","quantile","0.01",3165512.717508
2021-03-22,"1 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.025",2675311.619434
2021-03-22,"2 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.025",2687893.606366
2021-03-22,"3 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.025",2704162.711264
2021-03-22,"4 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.025",2727186.856712
2021-03-22,"5 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.025",2746403.488461
2021-03-22,"6 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.025",2758715.712848
2021-03-22,"7 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.025",2769580.996414
2021-03-22,"8 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.025",2781790.971153
2021-03-22,"9 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.025",2796793.901163
2021-03-22,"10 day ahead cum case",2021-04-01,"GM","Germany","quantile","0.025",2816544.331839
2021-03-22,"11 day ahead cum case",2021-04-02,"GM","Germany","quantile","0.025",2843068.813016
2021-03-22,"12 day ahead cum case",2021-04-03,"GM","Germany","quantile","0.025",2863669.305648
2021-03-22,"13 day ahead cum case",2021-04-04,"GM","Germany","quantile","0.025",2877368.306618
2021-03-22,"14 day ahead cum case",2021-04-05,"GM","Germany","quantile","0.025",2890039.843972
2021-03-22,"15 day ahead cum case",2021-04-06,"GM","Germany","quantile","0.025",2904500.770730
2021-03-22,"16 day ahead cum case",2021-04-07,"GM","Germany","quantile","0.025",2922288.348197
2021-03-22,"17 day ahead cum case",2021-04-08,"GM","Germany","quantile","0.025",2945703.190439
2021-03-22,"18 day ahead cum case",2021-04-09,"GM","Germany","quantile","0.025",2974962.688980
2021-03-22,"19 day ahead cum case",2021-04-10,"GM","Germany","quantile","0.025",2996548.263946
2021-03-22,"20 day ahead cum case",2021-04-11,"GM","Germany","quantile","0.025",3011675.007777
2021-03-22,"21 day ahead cum case",2021-04-12,"GM","Germany","quantile","0.025",3026240.902427
2021-03-22,"22 day ahead cum case",2021-04-13,"GM","Germany","quantile","0.025",3042990.446022
2021-03-22,"23 day ahead cum case",2021-04-14,"GM","Germany","quantile","0.025",3063579.003990
2021-03-22,"24 day ahead cum case",2021-04-15,"GM","Germany","quantile","0.025",3090294.363539
2021-03-22,"25 day ahead cum case",2021-04-16,"GM","Germany","quantile","0.025",3121322.265223
2021-03-22,"26 day ahead cum case",2021-04-17,"GM","Germany","quantile","0.025",3143487.247699
2021-03-22,"27 day ahead cum case",2021-04-18,"GM","Germany","quantile","0.025",3159997.482730
2021-03-22,"28 day ahead cum case",2021-04-19,"GM","Germany","quantile","0.025",3176429.709369
2021-03-22,"29 day ahead cum case",2021-04-20,"GM","Germany","quantile","0.025",3195354.552830
2021-03-22,"30 day ahead cum case",2021-04-21,"GM","Germany","quantile","0.025",3218517.644588
2021-03-22,"1 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.05",2676289.163557
2021-03-22,"2 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.05",2689343.551518
2021-03-22,"3 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.05",2706208.725694
2021-03-22,"4 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.05",2729381.262243
2021-03-22,"5 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.05",2748955.576070
2021-03-22,"6 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.05",2761749.529488
2021-03-22,"7 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.05",2773090.685021
2021-03-22,"8 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.05",2785993.784193
2021-03-22,"9 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.05",2801977.444588
2021-03-22,"10 day ahead cum case",2021-04-01,"GM","Germany","quantile","0.05",2822817.342750
2021-03-22,"11 day ahead cum case",2021-04-02,"GM","Germany","quantile","0.05",2849989.503613
2021-03-22,"12 day ahead cum case",2021-04-03,"GM","Germany","quantile","0.05",2871607.394217
2021-03-22,"13 day ahead cum case",2021-04-04,"GM","Germany","quantile","0.05",2886242.149737
2021-03-22,"14 day ahead cum case",2021-04-05,"GM","Germany","quantile","0.05",2899807.919187
2021-03-22,"15 day ahead cum case",2021-04-06,"GM","Germany","quantile","0.05",2915515.020658
2021-03-22,"16 day ahead cum case",2021-04-07,"GM","Germany","quantile","0.05",2934976.536747
2021-03-22,"17 day ahead cum case",2021-04-08,"GM","Germany","quantile","0.05",2960153.638908
2021-03-22,"18 day ahead cum case",2021-04-09,"GM","Germany","quantile","0.05",2990880.281768
2021-03-22,"19 day ahead cum case",2021-04-10,"GM","Germany","quantile","0.05",3014394.874759
2021-03-22,"20 day ahead cum case",2021-04-11,"GM","Germany","quantile","0.05",3031082.162434
2021-03-22,"21 day ahead cum case",2021-04-12,"GM","Germany","quantile","0.05",3047151.440384
2021-03-22,"22 day ahead cum case",2021-04-13,"GM","Germany","quantile","0.05",3065940.491955
2021-03-22,"23 day ahead cum case",2021-04-14,"GM","Germany","quantile","0.05",3089134.033792
2021-03-22,"24 day ahead cum case",2021-04-15,"GM","Germany","quantile","0.05",3118542.236611
2021-03-22,"25 day ahead cum case",2021-04-16,"GM","Germany","quantile","0.05",3152206.436758
2021-03-22,"26 day ahead cum case",2021-04-17,"GM","Germany","quantile","0.05",3177475.218601
2021-03-22,"27 day ahead cum case",2021-04-18,"GM","Germany","quantile","0.05",3196375.291466
2021-03-22,"28 day ahead cum case",2021-04-19,"GM","Germany","quantile","0.05",3215146.861114
2021-03-22,"29 day ahead cum case",2021-04-20,"GM","Germany","quantile","0.05",3237164.084917
2021-03-22,"30 day ahead cum case",2021-04-21,"GM","Germany","quantile","0.05",3264104.806045
2021-03-22,"1 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.1",2677416.209326
2021-03-22,"2 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.1",2691015.245418
2021-03-22,"3 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.1",2708567.649296
2021-03-22,"4 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.1",2731911.271283
2021-03-22,"5 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.1",2751897.969638
2021-03-22,"6 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.1",2765247.325776
2021-03-22,"7 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.1",2777137.131209
2021-03-22,"8 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.1",2790839.358465
2021-03-22,"9 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.1",2807953.738184
2021-03-22,"10 day ahead cum case",2021-04-01,"GM","Germany","quantile","0.1",2830049.722583
2021-03-22,"11 day ahead cum case",2021-04-02,"GM","Germany","quantile","0.1",2857968.616642
2021-03-22,"12 day ahead cum case",2021-04-03,"GM","Germany","quantile","0.1",2880759.501951
2021-03-22,"13 day ahead cum case",2021-04-04,"GM","Germany","quantile","0.1",2896473.122538
2021-03-22,"14 day ahead cum case",2021-04-05,"GM","Germany","quantile","0.1",2911069.884324
2021-03-22,"15 day ahead cum case",2021-04-06,"GM","Germany","quantile","0.1",2928213.745430
2021-03-22,"16 day ahead cum case",2021-04-07,"GM","Germany","quantile","0.1",2949605.205543
2021-03-22,"17 day ahead cum case",2021-04-08,"GM","Germany","quantile","0.1",2976814.080529
2021-03-22,"18 day ahead cum case",2021-04-09,"GM","Germany","quantile","0.1",3009232.246829
2021-03-22,"19 day ahead cum case",2021-04-10,"GM","Germany","quantile","0.1",3034970.874060
2021-03-22,"20 day ahead cum case",2021-04-11,"GM","Germany","quantile","0.1",3053457.368845
2021-03-22,"21 day ahead cum case",2021-04-12,"GM","Germany","quantile","0.1",3071259.951456
2021-03-22,"22 day ahead cum case",2021-04-13,"GM","Germany","quantile","0.1",3092400.425105
2021-03-22,"23 day ahead cum case",2021-04-14,"GM","Germany","quantile","0.1",3118597.346509
2021-03-22,"24 day ahead cum case",2021-04-15,"GM","Germany","quantile","0.1",3151110.225159
2021-03-22,"25 day ahead cum case",2021-04-16,"GM","Germany","quantile","0.1",3187813.908596
2021-03-22,"26 day ahead cum case",2021-04-17,"GM","Germany","quantile","0.1",3216661.172329
2021-03-22,"27 day ahead cum case",2021-04-18,"GM","Germany","quantile","0.1",3238316.575163
2021-03-22,"28 day ahead cum case",2021-04-19,"GM","Germany","quantile","0.1",3259785.257478
2021-03-22,"29 day ahead cum case",2021-04-20,"GM","Germany","quantile","0.1",3285367.797768
2021-03-22,"30 day ahead cum case",2021-04-21,"GM","Germany","quantile","0.1",3316663.883626
2021-03-22,"1 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.15",2678176.621755
2021-03-22,"2 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.15",2692143.129355
2021-03-22,"3 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.15",2710159.203852
2021-03-22,"4 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.15",2733618.256371
2021-03-22,"5 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.15",2753883.188609
2021-03-22,"6 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.15",2767607.272325
2021-03-22,"7 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.15",2779867.249243
2021-03-22,"8 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.15",2794108.644421
2021-03-22,"9 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.15",2811985.915100
2021-03-22,"10 day ahead cum case",2021-04-01,"GM","Germany","quantile","0.15",2834929.374920
2021-03-22,"11 day ahead cum case",2021-04-02,"GM","Germany","quantile","0.15",2863352.086323
2021-03-22,"12 day ahead cum case",2021-04-03,"GM","Germany","quantile","0.15",2886934.385590
2021-03-22,"13 day ahead cum case",2021-04-04,"GM","Germany","quantile","0.15",2903375.911315
2021-03-22,"14 day ahead cum case",2021-04-05,"GM","Germany","quantile","0.15",2918668.278736
2021-03-22,"15 day ahead cum case",2021-04-06,"GM","Germany","quantile","0.15",2936781.514747
2021-03-22,"16 day ahead cum case",2021-04-07,"GM","Germany","quantile","0.15",2959475.098930
2021-03-22,"17 day ahead cum case",2021-04-08,"GM","Germany","quantile","0.15",2988054.801395
2021-03-22,"18 day ahead cum case",2021-04-09,"GM","Germany","quantile","0.15",3021614.230529
2021-03-22,"19 day ahead cum case",2021-04-10,"GM","Germany","quantile","0.15",3048853.403104
2021-03-22,"20 day ahead cum case",2021-04-11,"GM","Germany","quantile","0.15",3068553.814384
2021-03-22,"21 day ahead cum case",2021-04-12,"GM","Germany","quantile","0.15",3087525.849421
2021-03-22,"22 day ahead cum case",2021-04-13,"GM","Germany","quantile","0.15",3110252.816383
2021-03-22,"23 day ahead cum case",2021-04-14,"GM","Germany","quantile","0.15",3138476.103722
2021-03-22,"24 day ahead cum case",2021-04-15,"GM","Germany","quantile","0.15",3173083.692415
2021-03-22,"25 day ahead cum case",2021-04-16,"GM","Germany","quantile","0.15",3211838.100798
2021-03-22,"26 day ahead cum case",2021-04-17,"GM","Germany","quantile","0.15",3243099.749274
2021-03-22,"27 day ahead cum case",2021-04-18,"GM","Germany","quantile","0.15",3266614.160156
2021-03-22,"28 day ahead cum case",2021-04-19,"GM","Germany","quantile","0.15",3289902.571584
2021-03-22,"29 day ahead cum case",2021-04-20,"GM","Germany","quantile","0.15",3317890.613981
2021-03-22,"30 day ahead cum case",2021-04-21,"GM","Germany","quantile","0.15",3352125.243745
2021-03-22,"1 day ahead cum case",2021-03-23,"GM","Germany","quantile","0.2",2678780.973448
2021-03-22,"2 day ahead cum case",2021-03-24,"GM","Germany","quantile","0.2",2693039.535754
2021-03-22,"3 day ahead cum case",2021-03-25,"GM","Germany","quantile","0.2",2711424.120959
2021-03-22,"4 day ahead cum case",2021-03-26,"GM","Germany","quantile","0.2",2734974.914006
2021-03-22,"5 day ahead cum case",2021-03-27,"GM","Germany","quantile","0.2",2755460.977714
2021-03-22,"6 day ahead cum case",2021-03-28,"GM","Germany","quantile","0.2",2769482.883031
2021-03-22,"7 day ahead cum case",2021-03-29,"GM","Germany","quantile","0.2",2782037.060509
2021-03-22,"8 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.2",2796706.969261
2021-03-22,"9 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.2",2815190.561490
2021-03-22,"10 day ahead cum case",2021-04-01,"GM","Germany","quantile","0.2",2838807.567910
